,zipcode,local
564,3454,Rummen
565,3460,BEKKEVOORT
566,3460,Assent
567,3461,Molenbeek-Wersbeek
568,3470,KORTENAKEN
569,3470,Sint-Margriete-Houtem
570,3470,Ransberg
571,3471,Hoeleden
572,3472,Kersbeek-Miskom
573,3473,Waanrode
574,3500,HASSELT
575,3500,Sint-Lambrechts-Herk
576,3501,Wimmertingen
577,3510,Kermt
578,3510,Spalbeek
579,3511,Kuringen
580,3511,Stokrooie
581,3512,Stevoort
582,3520,ZONHOVEN
583,3530,Houthalen
584,3530,Helchteren
585,3530,HOUTHALEN-HELCHTEREN
586,3540,Schulen
587,3540,Donk
588,3540,Berbroek
589,3540,HERK-DE-STAD
590,3545,Loksbergen
591,3545,Zelem
592,3545,HALEN
593,3550,HEUSDEN-ZOLDER
594,3550,Zolder
595,3550,Heusden
596,3560,LUMMEN
597,3560,Linkhout
598,3560,Meldert
599,3570,ALKEN
600,3580,BERINGEN
601,3581,Beverlo
602,3582,Koersel
603,3583,Paal
604,3590,DIEPENBEEK
605,3600,GENK
606,3620,Neerharen
607,3620,Veldwezelt
608,3620,Gellik
609,3620,LANAKEN
610,3621,Rekem
611,3630,Opgrimbie
612,3630,Vucht
613,3630,Eisden
614,3630,Mechelen-Aan-De-Maas
615,3630,MAASMECHELEN
616,3630,Meeswijk
617,3630,Leut
618,3631,Uikhoven
619,3631,Boorsem
620,3640,Molenbeersel
621,3640,Kessenich
622,3640,Ophoven
623,3640,KINROOI
624,3650,Lanklaar
625,3650,Dilsen
626,3650,Rotem
627,3650,Stokkem
628,3650,DILSEN-STOKKEM
629,3650,Elen
630,3660,Opglabbeek
631,3665,AS
632,3668,Niel-Bij-As
633,3670,Wijshagen
634,3670,Meeuwen
635,3670,OUDSBERGEN
636,3670,Gruitrode
637,3670,Neerglabbeek
638,3670,Ellikom
639,3680,MAASEIK
640,3680,Opoeteren
641,3680,Neeroeteren
642,3690,ZUTENDAAL
643,3700,Widooie
644,3700,Lauw
645,3700,Diets-Heur
646,3700,Koninksem
647,3700,Nerem
648,3700,TONGEREN
649,3700,Kolmont
650,3700,Mal
651,3700,Riksingen
652,3700,Overrepen
653,3700,Henis
654,3700,Sluizen
655,3700,Haren
656,3700,Neerrepen
657,3700,S Herenelderen
658,3700,Vreren
659,3700,Berg
660,3700,Piringen
661,3700,Rutten
662,3717,HERSTAPPE
663,3720,KORTESSEM
664,3721,Vliermaalroot
665,3722,Wintershoven
666,3723,Guigoven
667,3724,Vliermaal
668,3730,Werm
669,3730,HOESELT
670,3730,Sint-Huibrechts-Hern
671,3730,Romershoven
672,3732,Schalkhoven
673,3740,Hees
674,3740,Eigenbilzen
675,3740,Grote-Spouwen
676,3740,Waltwilder
677,3740,Beverst
678,3740,BILZEN
679,3740,Kleine-Spouwen
680,3740,Munsterbilzen
681,3740,Mopertingen
682,3740,Rijkhoven
683,3740,Rosmeer
684,3742,Martenslinde
685,3746,Hoelbeek
686,3770,Millen
687,3770,Vlijtingen
688,3770,Kanne
689,3770,Genoelselderen
690,3770,Membruggen
691,3770,RIEMST
692,3770,Vroenhoven
693,3770,Zichen-Zussen-Bolder
694,3770,Herderen
695,3770,Val-Meer
696,3790,Fouron-Saint-Martin
697,3790,FOURONS
698,3790,Mouland
699,3791,Remersdaal
700,3792,Fouron-Saint-Pierre
701,3793,Teuven
702,3798,Fouron-Le-Comte
703,3800,Aalst
704,3800,Ordingen
705,3800,Groot-Gelmen
706,3800,Kerkom-Bij-Sint-Truiden
707,3800,Halmaal
708,3800,Zepperen
709,3800,SINT-TRUIDEN
710,3800,Engelmanshoven
711,3800,Gelinden
712,3800,Brustem
713,3803,Runkelen
714,3803,Gorsem
715,3803,Wilderen
716,3803,Duras
717,3806,Velm
718,3830,WELLEN
719,3830,Berlingen
720,3831,Herten
721,3832,Ulbeek
722,3840,Kolmont
723,3840,Hoepertingen
724,3840,Kuttekoven
725,3840,Kerniel
726,3840,Bommershoven
727,3840,Hendrieken
728,3840,Gotem
729,3840,Gors-Opleeuw
730,3840,Rijkel
731,3840,Groot-Loon
732,3840,Jesseren
733,3840,Voort
734,3840,Broekom
735,3840,Haren
736,3840,BORGLOON
737,3850,Kozen
738,3850,Binderveld
739,3850,NIEUWERKERKEN
740,3850,Wijer
741,3870,Opheers
742,3870,Batsheers
743,3870,HEERS
744,3870,Veulen
745,3870,Klein-Gelmen
746,3870,Horpmaal
747,3870,Vechmaal
748,3870,Gutshoven
749,3870,Heks
750,3870,Bovelingen
751,3870,Mechelen-Bovelingen
752,3870,Rukkelingen-Loon
753,3870,Mettekoven
754,3890,Vorsen
755,3890,Jeuk
756,3890,Montenaken
757,3890,GINGELOM
758,3890,Kortijs
759,3890,Niel-Bij-Sint-Truiden
760,3890,Boekhout
761,3891,Buvingen
762,3891,Mielen-Boven-Aalst
763,3891,Borlo
764,3891,Muizen
765,3900,Overpelt
766,3900,PELT
767,3910,Neerpelt
768,3910,Sint-Huibrechts-Lille
769,3920,LOMMEL
770,3930,Achel
771,3930,Hamont
772,3930,HAMONT-ACHEL
773,3940,Hechtel
774,3940,HECHTEL-EKSEL
775,3941,Eksel
776,3945,Kwaadmechelen
777,3945,HAM
778,3945,Oostham
779,3950,BOCHOLT
780,3950,Kaulille
781,3950,Reppel
782,3960,BREE
783,3960,Opitter
784,3960,Tongerlo
785,3960,Gerdingen
786,3960,Beek
787,3970,LEOPOLDSBURG
788,3971,Heppen
789,3980,TESSENDERLO
790,3990,Grote-Brogel
791,3990,PEER
792,3990,Kleine-Brogel
793,3990,Wijchmaal
794,4000,Rocourt
795,4000,LIÈGE
796,4000,Glain
797,4020,Jupille-Sur-Meuse
798,4020,Bressoux
799,4020,LIÈGE
800,4020,Wandre
801,4030,Grivegnée
802,4031,Angleur
803,4032,Chênée
804,4040,HERSTAL
805,4041,Vottem
806,4041,Milmort
807,4042,Liers
808,4050,CHAUDFONTAINE
809,4051,Vaux-Sous-Chèvremont
810,4052,Beaufays
811,4053,Embourg
812,4099,Liège X
813,4100,Boncelles
814,4100,SERAING
815,4101,Jemeppe-Sur-Meuse
816,4102,Ougrée
817,4120,Rotheux-Rimière
818,4120,Ehein
819,4120,NEUPRÉ
820,4121,Neuville-En-Condroz
821,4122,Plainevaux
822,4130,Tilff
823,4130,ESNEUX
824,4140,Dolembreux
825,4140,Rouvreux
826,4140,SPRIMONT
827,4140,Gomzé-Andoumont
828,4141,Louveigné
829,4160,ANTHISNES
830,4161,Villers-Aux-Tours
831,4162,Hody
832,4163,Tavier
833,4170,COMBLAIN-AU-PONT
834,4171,Poulseur
835,4180,Comblain-Fairon
836,4180,HAMOIR
837,4180,Comblain-La-Tour
838,4181,Filot
839,4190,My
840,4190,FERRIÈRES
841,4190,Xhoris
842,4190,Werbomont
843,4190,Vieuxville
844,4210,BURDINNE
845,4210,Hannêche
846,4210,Marneffe
847,4210,Lamontzée
848,4210,Oteppe
849,4217,HÉRON
850,4217,Waret-L'Evêque
851,4217,Lavoir
852,4218,Couthuin
853,4219,Acosse
854,4219,Meeffe
855,4219,Ambresin
856,4219,WASSEIGES
857,4250,Boëlhe
858,4250,Lens-Saint-Servais
859,4250,GEER
860,4250,Hollogne-Sur-Geer
861,4252,Omal
862,4253,Darion
863,4254,Ligney
864,4257,BERLOZ
865,4257,Rosoux-Crenwick
866,4257,Corswarem
867,4260,Avennes
868,4260,BRAIVES
869,4260,Ville-En-Hesbaye
870,4260,Fallais
871,4260,Fumal
872,4260,Ciplet
873,4261,Latinne
874,4263,Tourinne
875,4280,Bertrée
876,4280,Thisnes
877,4280,Avin
878,4280,Lens-Saint-Remy
879,4280,Merdorp
880,4280,Wansin
881,4280,Crehen
882,4280,Petit-Hallet
883,4280,Grand-Hallet
884,4280,Blehen
885,4280,Moxhe
886,4280,Trognée
887,4280,Villers-Le-Peuplier
888,4280,Avernas-Le-Bauduin
889,4280,Poucet
890,4280,Abolens
891,4280,HANNUT
892,4280,Cras-Avernas
893,4287,LINCENT
894,4287,Pellaines
895,4287,Racour
896,4300,Oleye
897,4300,Bovenistier
898,4300,WAREMME
899,4300,Bleret
900,4300,Lantremange
901,4300,Grand-Axhe
902,4300,Bettincourt
903,4317,FAIMES
904,4317,Celles
905,4317,Aineffe
906,4317,Borlez
907,4317,Les Waleffes
908,4317,Viemme
909,4340,Villers-L'Evêque
910,4340,Fooz
911,4340,AWANS
912,4340,Othée
913,4342,Hognoul
914,4347,Noville
915,4347,Roloux
916,4347,FEXHE-LE-HAUT-CLOCHER
917,4347,Freloux
918,4347,Voroux-Goreux
919,4350,REMICOURT
920,4350,Lamine
921,4350,Pousset
922,4350,Momalle
923,4351,Hodeige
924,4357,DONCEEL
925,4357,Haneffe
926,4357,Limont
927,4357,Jeneffe
928,4360,Grandville
929,4360,Otrange
930,4360,Lens-Sur-Geer
931,4360,OREYE
932,4360,Bergilers
933,4367,Fize-Le-Marsal
934,4367,CRISNÉE
935,4367,Kemexhe
936,4367,Odeur
937,4367,Thys
938,4400,Ivoz-Ramet
939,4400,Awirs
940,4400,Gleixhe
941,4400,FLÉMALLE
942,4400,Chokier
943,4400,Mons-Lez-Liège
944,4400,Flémalle-Grande
945,4400,Flémalle-Haute
946,4420,Tilleur
947,4420,SAINT-NICOLAS
948,4420,Montegnée
949,4430,ANS
950,4431,Loncin
951,4432,Xhendremael
952,4432,Alleur
953,4450,Slins
954,4450,Lantin
955,4450,JUPRELLE
956,4451,Voroux-Lez-Liers
957,4452,Paifve
958,4452,Wihogne
959,4453,Villers-Saint-Siméon
960,4458,Fexhe-Slins
961,4460,Horion-Hozémont
962,4460,Velroux
963,4460,Grâce-Berleur
964,4460,Hollogne-Aux-Pierres
965,4460,Bierset
966,4460,GRÂCE-HOLLOGNE
967,4470,SAINT-GEORGES-SUR-MEUSE
968,4480,Clermont-Sous-Huy
969,4480,Hermalle-Sous-Huy
970,4480,ENGIS
971,4480,Ehein
972,4500,HUY
973,4500,Tihange
974,4500,Ben-Ahin
975,4520,Antheit
976,4520,Moha
977,4520,Bas-Oha
978,4520,Vinalmont
979,4520,Huccorgne
980,4520,WANZE
981,4530,Warnant-Dreye
982,4530,Vieux-Waleffe
983,4530,Vaux-Et-Borset
984,4530,Fize-Fontaine
985,4530,VILLERS-LE-BOUILLET
986,4537,VERLAINE
987,4537,Chapon-Seraing
988,4537,Bodegnée
989,4537,Seraing-Le-Château
990,4540,Flône
991,4540,AMAY
992,4540,Ampsin
993,4540,Ombret
994,4540,Jehay
995,4550,Villers-Le-Temple
996,4550,NANDRIN
997,4550,Yernée-Fraineux
998,4550,Saint-Séverin
999,4557,Ramelot
1000,4557,Abée
1001,4557,Seny
1002,4557,Fraiture
1003,4557,Soheit-Tinlot
1004,4557,TINLOT
1005,4560,CLAVIER
1006,4560,Les Avins
1007,4560,Pailhe
1008,4560,Bois-Et-Borsu
1009,4560,Ocquier
1010,4560,Terwagne
1011,4570,MARCHIN
1012,4570,Vyle-Et-Tharoul
1013,4577,Vierset-Barse
1014,4577,Outrelouxhe
1015,4577,Strée-Lez-Huy
1016,4577,MODAVE
1017,4590,OUFFET
1018,4590,Ellemelle
1019,4590,Warzée
1020,4600,VISÉ
1021,4600,Richelle
1022,4600,Lanaye
1023,4600,Lixhe
1024,4601,Argenteau
1025,4602,Cheratte
1026,4606,Saint-André
1027,4607,DALHEM
1028,4607,Mortroux
1029,4607,Bombaye
1030,4607,Feneur
1031,4607,Berneau
1032,4608,Warsage
1033,4608,Neufchâteau
1034,4610,Bellaire
1035,4610,Queue-Du-Bois
1036,4610,BEYNE-HEUSAY
1037,4620,FLÉRON
1038,4621,Retinne
1039,4623,Magnée
1040,4624,Romsée
1041,4630,SOUMAGNE
1042,4630,Tignée
1043,4630,Ayeneux
1044,4630,Micheroux
1045,4631,Evegnée
1046,4632,Cérexhe-Heuseux
1047,4633,Melen
1048,4650,HERVE
1049,4650,Julémont
1050,4650,Grand-Rechain
1051,4650,Chaineux
1052,4651,Battice
1053,4652,Xhendelesse
1054,4653,Bolland
1055,4654,Charneux
1056,4670,Trembleur
1057,4670,BLÉGNY
1058,4670,Mortier
1059,4671,Barchon
1060,4671,Housse
1061,4671,Saive
1062,4672,Saint-Remy
1063,4680,Hermée
1064,4680,OUPEYE
1065,4681,Hermalle-Sous-Argenteau
1066,4682,Heure-Le-Romain
1067,4682,Houtain-Saint-Siméon
1068,4683,Vivegnis
1069,4684,Haccourt
1070,4690,BASSENGE
1071,4690,Wonck
1072,4690,Eben-Emael
1073,4690,Boirs
1074,4690,Roclenge-Sur-Geer
1075,4690,Glons
1076,4700,EUPEN
1077,4701,Kettenis
1078,4710,LONTZEN
1079,4711,Walhorn
1080,4720,LA CALAMINE
1081,4721,Neu-Moresnet
1082,4728,Hergenrath
1083,4730,RAEREN
1084,4730,Hauset
1085,4731,Eynatten
1086,4750,BUTGENBACH
1087,4750,Elsenborn
1088,4760,Manderfeld
1089,4760,BULLANGE
1090,4761,Rocherath
1091,4770,AMBLÈVE
1092,4770,Meyerode
1093,4771,Heppenbach
1094,4780,Recht
1095,4780,SAINT-VITH
1096,4782,Schoenberg
1097,4783,Lommersweiler
1098,4784,Crombach
1099,4790,BURG-REULAND
